SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,date_collected
MLS Listing,,Single Family Residential,3705 Arthur Pierce Rd,Apex,NC,27539,435000,4,3,Wake,2719,35283,2017,99,160,,Active,,,http://www.redfin.com/NC/Apex/3705-Arthur-Pierce-Rd-27539/home/108981734,TMLS,2107865,N,Y,35.688774,-78.782317,5/10/2017
MLS Listing,,Single Family Residential,304 Lady Marian Ct,Cary,NC,27518,699935,4,4,Regency,4080,25700,2017,145,172,58,Active,,,http://www.redfin.com/NC/Cary/304-LADY-MARIAN-CT-27518/home/109029708,TMLS,2102675,N,Y,35.7166,-78.8001,5/10/2017
MLS Listing,,Single Family Residential,8221 Pritchett Farm Ln,Raleigh,NC,27606,448990,4,5,Wake,3118,8276,2016,250,144,105,Active,May-13-2017 08:30 AM,May-13-2017 01:00 PM,http://www.redfin.com/NC/Unknown/8221-Pritchett-Farm-Ln-27606/home/109263169,TMLS,2087798,N,Y,35.73729,-78.743992,5/10/2017
MLS Listing,,Single Family Residential,1377 Cozy Oak Ave,Cary,NC,27519,485000,4,4,The Oaks at Highcroft,3210,10018,2014,34,151,62,Active,,,http://www.redfin.com/NC/Cary/1377-Cozy-Oak-Ave-27519/home/109592377,TMLS,2119269,N,Y,35.8109,-78.8809036,5/10/2017
MLS Listing,,Single Family Residential,309 Rocking Ranch Ct,Cary,NC,27519,751398,4,5,Chatham,3700,16378,2017,163,203,61,Active,May-13-2017 09:00 AM,May-13-2017 01:00 PM,http://www.redfin.com/NC/Cary/309-Rocking-Ranch-Ct-27519/home/109694536,TMLS,2100274,N,Y,35.845465,-78.911115,5/10/2017
MLS Listing,,Single Family Residential,7629 Ballard Hill Ln,Cary,NC,27519,759900,4,5,Custom Homes,3842,11761,2017,159,198,50,Active,May-13-2017 10:00 AM,May-13-2017 02:00 PM,http://www.redfin.com/NC/CARY/7629-BALLARD-HILL-LN-27519/home/111703746,TMLS,2100922,N,Y,35.79571432,-78.90520477,5/10/2017
MLS Listing,,Single Family Residential,1648 Pantego Trl,Cary,NC,27519,588315,4,3,Indian Wells,3000,11761,2017,149,196,62,Active,,,http://www.redfin.com/NC/Cary/1648-Pantego-Trl-27519/home/112384236,TMLS,2102131,N,Y,35.8183509,-78.88239149,5/10/2017
MLS Listing,,Single Family Residential,337 Lady Marian Ct,Cary,NC,27518,719010,4,4,Regency,4014,20473,2017,146,179,58,Active,,,http://www.redfin.com/NC/Cary/337-Lady-Marian-Ct-27518/home/112388028,TMLS,2102534,N,Y,35.7166,-78.8001,5/10/2017
MLS Listing,,Single Family Residential,321 Lady Marian Ct,Cary,NC,27518,715040,4,4,Regency,4014,20473,2017,146,178,58,Active,,,http://www.redfin.com/NC/Cary/321-Lady-Marian-Ct-27518/home/112388029,TMLS,2102532,N,Y,35.7166,-78.8001,5/10/2017
MLS Listing,,Single Family Residential,117 Painters Hill Ln,Cary,NC,27519,637319,4,6,Southerlyn,3994,7840,2017,105,160,85,Active,,,http://www.redfin.com/NC/Cary/117-Painters-Hill-Ln-27519/home/112973858,TMLS,2106996,N,Y,35.78385921,-78.90210721,5/10/2017
