SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-15-2017,Single Family Residential,206 Oakcrest Manor Dr NE,Leesburg,VA,20176,534900,4,2.5,Paxton,2687,11761,1996,69,199,,Sold,,,http://www.redfin.com/VA/Leesburg/206-Oakcrest-Manor-Dr-NE-20176/home/12009085,MRIS,LO9850330,N,Y,39.1216184,-77.5570775
PAST SALE,February-24-2017,Single Family Residential,303 Oakcrest Manor Dr NE,Leesburg,VA,20176,515000,4,3.5,Paxton,2834,10019,1996,88,182,,Sold,,,http://www.redfin.com/VA/Leesburg/303-Oakcrest-Manor-Dr-NE-20176/home/12009111,MRIS,LO9801065,N,Y,39.1212992,-77.5556271
PAST SALE,April-27-2017,Single Family Residential,404 Dodd Dr NW,Leesburg,VA,20176,430000,4,2.5,Andover Meadow,2300,10019,1977,26,187,,Sold,,,http://www.redfin.com/VA/Leesburg/404-Dodd-Dr-NW-20176/home/12009166,MRIS,LO9899587,N,Y,39.1228868,-77.5736188
PAST SALE,March-13-2017,Single Family Residential,137 Morven Park Rd NW,Leesburg,VA,20176,439900,4,2.5,Andover Meadow,1723,16988,1977,71,255,,Sold,,,http://www.redfin.com/VA/Leesburg/137-Morven-Park-Rd-NW-20176/home/12009182,MRIS,LO9859821,N,Y,39.1227008,-77.5728554
PAST SALE,March-28-2017,Single Family Residential,703 Chadfield Way NE,Leesburg,VA,20176,589900,4,3.5,Exeter,3534,11326,1992,56,167,56,Sold,,,http://www.redfin.com/VA/Leesburg/703-Chadfield-Way-NE-20176/home/12009347,MRIS,LO9853524,N,Y,39.126331,-77.5556189
PAST SALE,May-19-2017,Single Family Residential,210 Lake View Way NW,Leesburg,VA,20176,620000,4,3.5,Old Waterford Knoll,4400,12197,1997,4,141,20,Sold,,,http://www.redfin.com/VA/Leesburg/210-Lake-View-Way-NW-20176/home/12009376,MRIS,LO9923183,N,Y,39.1253014,-77.5746381
PAST SALE,April-27-2017,Single Family Residential,308 Edwards Ferry Rd NE,Leesburg,VA,20176,649000,4,2.5,Downtown Leesburg,3240,20038,1939,26,200,,Sold,,,http://www.redfin.com/VA/Leesburg/308-Edwards-Ferry-Rd-NE-20176/home/12009877,MRIS,LO9883270,N,Y,39.1136045,-77.5555004
MLS Listing,,Single Family Residential,253 Dry Mill Rd SW,Leesburg,VA,20175,359900,4,2,Prospect Hills,1026,17424,1985,213,351,,Active,,,http://www.redfin.com/VA/Leesburg/253-Dry-Mill-Rd-SW-20175/home/12009893,MRIS,LO9794589,N,Y,39.1129349,-77.5756957
MLS Listing,,Single Family Residential,208 Wildman St NE,Leesburg,VA,20176,439000,4,3,Exeter Hills,1207,18731,1974,22,364,,Active,,,http://www.redfin.com/VA/Leesburg/208-Wildman-St-NE-20176/home/12010129,MRIS,LO9932261,N,Y,39.1173626,-77.5569581
MLS Listing,,Single Family Residential,102 Cornwall St NW,Leesburg,VA,20176,1390000,4,3.5,Historic District,3350,24394,1765,63,415,,Active,,,http://www.redfin.com/VA/Leesburg/102-Cornwall-St-NW-20176/home/12010300,MRIS,LO9892676,N,Y,39.1172737,-77.5656628
PAST SALE,April-27-2017,Single Family Residential,8 First St SW,Leesburg,VA,20175,349000,4,2.5,Waverley Heights Subdivi,1666,5663,1994,26,209,,Sold,,,http://www.redfin.com/VA/Leesburg/8-First-St-SW-20175/home/12011246,MRIS,LO9882069,N,Y,39.1072377,-77.5694347
PAST SALE,March-24-2017,Single Family Residential,207 Duvall Ct SE,Leesburg,VA,20175,586000,4,3.5,Stratford,2953,13068,2000,60,198,51,Sold,,,http://www.redfin.com/VA/Leesburg/207-Duvall-Ct-SE-20175/home/12011344,MRIS,LO9860541,N,Y,39.0940049,-77.5561685
MLS Listing,,Single Family Residential,203 Duvall Ct SE,Leesburg,VA,20175,569000,4,3.5,Stratford,4517,10890,2000,7,126,51,Active,,,http://www.redfin.com/VA/Leesburg/203-Duvall-Ct-SE-20175/home/12011362,MRIS,LO9948220,N,Y,39.0940078,-77.5555774
MLS Listing,,Single Family Residential,16080 Gold Cup Ln,Paeonian Springs,VA,20129,1400000,4,4.5,Beacon Hill,6092,341510,1997,35,230,,Active,,,http://www.redfin.com/VA/Paeonian-Springs/16080-Gold-Cup-Ln-20129/home/12011870,MRIS,LO9918456,N,Y,39.171116,-77.589685
